URL,Backlinks,Referring domains,Authority score,Source
https://example.com/,5200,480,71,Placeholder
https://example.com/products/widget-pro/,1400,210,58,Placeholder
https://example.com/services/,600,120,49,Placeholder
https://example.com/category/widgets/,900,160,52,Placeholder
https://example.com/services/seo-audit/,120,22,40,Placeholder
https://example.com/products/widget-a/,140,30,42,Placeholder
https://example.com/blog/thin-post/,30,6,21,Placeholder
https://example.com/blog/old-guide/,18,4,18,Placeholder
https://example.com/services/link-building/,40,4,19,Placeholder
https://example.com/resources/seo-tools/,55,3,17,Placeholder
https://example.com/services/technical-seo/,1200,150,53,Placeholder
https://example.com/guides/advanced-crawl/,1100,140,51,Placeholder
https://example.com/landing/promo/,2,2,5,Placeholder
https://example.com/broken-page/,1,1,3,Placeholder
https://example.com/about/,60,20,35,Placeholder
https://example.com/contact/,45,18,33,Placeholder
https://example.com/blog/news-update/,25,10,28,Placeholder
https://example.com/products/widget-b/,900,150,55,Placeholder
