Page,Clicks,Impressions,CTR,Position
https://example.com/,900,42000,7.20%,2.1
https://example.com/products/widget-pro/,610,30000,6.30%,3.0
https://example.com/services/,240,28000,2.20%,5.6
https://example.com/category/widgets/,180,24000,2.00%,6.1
https://example.com/services/seo-audit/,60,22000,0.40%,6.8
https://example.com/products/widget-a/,90,26000,0.50%,5.2
https://example.com/blog/thin-post/,40,12000,1.10%,9.4
https://example.com/blog/old-guide/,55,9000,1.20%,8.2
https://example.com/services/link-building/,120,15000,2.40%,12.4
https://example.com/resources/seo-tools/,140,16500,2.50%,11.8
https://example.com/services/technical-seo/,130,15500,2.60%,12.1
https://example.com/guides/advanced-crawl/,120,14500,2.50%,12.6
https://example.com/landing/promo/,0,4800,0.00%,11.0
https://example.com/broken-page/,0,5200,0.00%,9.6
https://example.com/about/,12,1400,0.86%,18.0
https://example.com/contact/,8,900,0.89%,21.0
https://example.com/blog/news-update/,20,2200,0.91%,16.0
https://example.com/products/widget-b/,340,18000,1.89%,3.4
